"","mc_region","region_name","state","mape","id","desc","date","qtt"
"80","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2006-08-01,673
"81","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2006-09-01,690
"82","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2006-10-01,709
"83","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2006-11-01,625
"84","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2006-12-01,644
"85","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2007-01-01,664
"86","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2007-02-01,701
"87","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2007-03-01,750
"88","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2007-04-01,685
"89","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2007-05-01,725
"90","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2007-06-01,648
"91","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2007-07-01,605
"92","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2007-08-01,634
"93","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2007-09-01,646
"94","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2007-10-01,634
"95","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2007-11-01,554
"96","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2007-12-01,632
"97","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2008-01-01,681
"98","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2008-02-01,655
"99","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2008-03-01,733
"100","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2008-04-01,734
"101","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2008-05-01,750
"102","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2008-06-01,657
"103","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2008-07-01,683
"104","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2008-08-01,656
"105","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2008-09-01,687
"106","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2008-10-01,674
"107","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2008-11-01,662
"108","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2008-12-01,696
"109","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2009-01-01,675
"110","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2009-02-01,676
"111","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2009-03-01,806
"112","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2009-04-01,750
"113","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2009-05-01,712
"114","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2009-06-01,692
"115","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2009-07-01,660
"116","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2009-08-01,593
"117","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2009-09-01,712
"118","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2009-10-01,711
"119","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2009-11-01,622
"120","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2009-12-01,642
"121","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2010-01-01,697
"122","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2010-02-01,733
"123","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2010-03-01,818
"124","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2010-04-01,812
"125","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2010-05-01,735
